Quarter,Index,Area
01-01-01,1857,Centro
01-04-01,1988,Centro
01-07-01,2061,Centro
01-10-01,2155,Centro
01-01-02,2292,Centro
01-04-02,2455,Centro
01-07-02,2523,Centro
01-10-02,2790,Centro
01-01-03,2954,Centro
01-04-03,2965,Centro
01-07-03,3129,Centro
01-10-03,3197,Centro
01-01-04,3347,Centro
01-04-04,3437,Centro
01-07-04,3464,Centro
01-10-04,3619,Centro
01-01-05,3694,Centro
01-04-05,3785,Centro
01-07-05,3841,Centro
01-10-05,4011,Centro
01-01-06,4145,Centro
01-04-06,4280,Centro
01-07-06,4262,Centro
01-10-06,4305,Centro
01-01-07,4398,Centro
01-04-07,4454,Centro
01-07-07,4405,Centro
01-10-07,4422,Centro
01-01-08,4387,Centro
01-04-08,4303,Centro
01-07-08,4137,Centro
01-10-08,4092,Centro
01-01-09,3988,Centro
01-04-09,3896,Centro
01-07-09,3897,Centro
01-10-09,3891,Centro
01-01-10,3825,Centro
01-04-10,3740,Centro
01-07-10,3759,Centro
01-10-10,3786,Centro
01-01-11,3728,Centro
01-04-11,3596,Centro
01-07-11,3603,Centro
01-10-11,3575,Centro
01-01-12,3484,Centro
01-04-12,3390,Centro
01-07-12,3312,Centro
01-10-12,3202,Centro
01-01-13,3155,Centro
01-04-13,3081,Centro
01-07-13,3434,Centro
01-10-13,3354,Centro
01-01-14,3412,Centro
01-04-14,3337,Centro
01-07-14,3276,Centro
01-10-14,3285,Centro
01-01-15,3346,Centro
01-04-15,3424,Centro
01-07-15,3538,Centro
01-10-15,3568,Centro
01-01-16,3599,Centro
01-04-16,3638,Centro
01-07-16,3718,Centro
01-10-16,3779,Centro
01-01-17,3972,Centro
01-04-17,4307,Centro
01-07-17,4456,Centro
01-10-17,4599,Centro
01-01-18,4832,Centro
01-04-18,4987,Centro
01-07-18,4915,Centro
01-01-01,2152,Retiro
01-04-01,2340,Retiro
01-07-01,2426,Retiro
01-10-01,2504,Retiro
01-01-02,2558,Retiro
01-04-02,2711,Retiro
01-07-02,2847,Retiro
01-10-02,3046,Retiro
01-01-03,3132,Retiro
01-04-03,3259,Retiro
01-07-03,3395,Retiro
01-10-03,3598,Retiro
01-01-04,3741,Retiro
01-04-04,3629,Retiro
01-07-04,3722,Retiro
01-10-04,3824,Retiro
01-01-05,3856,Retiro
01-04-05,3924,Retiro
01-07-05,4012,Retiro
01-10-05,4061,Retiro
01-01-06,4137,Retiro
01-04-06,4240,Retiro
01-07-06,4321,Retiro
01-10-06,4397,Retiro
01-01-07,4421,Retiro
01-04-07,4418,Retiro
01-07-07,4418,Retiro
01-10-07,4402,Retiro
01-01-08,4427,Retiro
01-04-08,4372,Retiro
01-07-08,4313,Retiro
01-10-08,4212,Retiro
01-01-09,4192,Retiro
01-04-09,4161,Retiro
01-07-09,4187,Retiro
01-10-09,4142,Retiro
01-01-10,4189,Retiro
01-04-10,4235,Retiro
01-07-10,4321,Retiro
01-10-10,4127,Retiro
01-01-11,4169,Retiro
01-04-11,4120,Retiro
01-07-11,4097,Retiro
01-10-11,3957,Retiro
01-01-12,3770,Retiro
01-04-12,3661,Retiro
01-07-12,3611,Retiro
01-10-12,3460,Retiro
01-01-13,3405,Retiro
01-04-13,3401,Retiro
01-07-13,3539,Retiro
01-10-13,3322,Retiro
01-01-14,3374,Retiro
01-04-14,3389,Retiro
01-07-14,3365,Retiro
01-10-14,3274,Retiro
01-01-15,3420,Retiro
01-04-15,3539,Retiro
01-07-15,3458,Retiro
01-10-15,3510,Retiro
01-01-16,3489,Retiro
01-04-16,3648,Retiro
01-07-16,3689,Retiro
01-10-16,3734,Retiro
01-01-17,3931,Retiro
01-04-17,4080,Retiro
01-07-17,4138,Retiro
01-10-17,4353,Retiro
01-01-18,4764,Retiro
01-04-18,4876,Retiro
01-07-18,4834,Retiro
01-01-01,2438,Salamanca
01-04-01,2533,Salamanca
01-07-01,2615,Salamanca
01-10-01,2826,Salamanca
01-01-02,2903,Salamanca
01-04-02,3113,Salamanca
01-07-02,3273,Salamanca
01-10-02,3468,Salamanca
01-01-03,3721,Salamanca
01-04-03,3734,Salamanca
01-07-03,3915,Salamanca
01-10-03,3960,Salamanca
01-01-04,4141,Salamanca
01-04-04,4152,Salamanca
01-07-04,4226,Salamanca
01-10-04,4311,Salamanca
01-01-05,4460,Salamanca
01-04-05,4468,Salamanca
01-07-05,4544,Salamanca
01-10-05,4552,Salamanca
01-01-06,4660,Salamanca
01-04-06,4723,Salamanca
01-07-06,4764,Salamanca
01-10-06,4812,Salamanca
01-01-07,4995,Salamanca
01-04-07,5001,Salamanca
01-07-07,5082,Salamanca
01-10-07,5015,Salamanca
01-01-08,5054,Salamanca
01-04-08,5041,Salamanca
01-07-08,5167,Salamanca
01-10-08,5202,Salamanca
01-01-09,5055,Salamanca
01-04-09,5023,Salamanca
01-07-09,4918,Salamanca
01-10-09,4867,Salamanca
01-01-10,4866,Salamanca
01-04-10,4818,Salamanca
01-07-10,4789,Salamanca
01-10-10,4737,Salamanca
01-01-11,4564,Salamanca
01-04-11,4563,Salamanca
01-07-11,4616,Salamanca
01-10-11,4504,Salamanca
01-01-12,4388,Salamanca
01-04-12,4267,Salamanca
01-07-12,4297,Salamanca
01-10-12,4173,Salamanca
01-01-13,4040,Salamanca
01-04-13,4005,Salamanca
01-07-13,4148,Salamanca
01-10-13,4116,Salamanca
01-01-14,4247,Salamanca
01-04-14,4130,Salamanca
01-07-14,4134,Salamanca
01-10-14,4138,Salamanca
01-01-15,4219,Salamanca
01-04-15,4292,Salamanca
01-07-15,4385,Salamanca
01-10-15,4370,Salamanca
01-01-16,4415,Salamanca
01-04-16,4531,Salamanca
01-07-16,4613,Salamanca
01-10-16,4590,Salamanca
01-01-17,4782,Salamanca
01-04-17,5001,Salamanca
01-07-17,5252,Salamanca
01-10-17,5479,Salamanca
01-01-18,5675,Salamanca
01-04-18,5930,Salamanca
01-07-18,5987,Salamanca
01-01-01,1662,Barajas
01-04-01,1680,Barajas
01-07-01,1842,Barajas
01-10-01,1965,Barajas
01-01-02,2083,Barajas
01-04-02,2152,Barajas
01-07-02,2543,Barajas
01-10-02,2593,Barajas
01-01-03,2606,Barajas
01-04-03,2743,Barajas
01-07-03,2935,Barajas
01-10-03,2953,Barajas
01-01-04,2928,Barajas
01-04-04,2976,Barajas
01-07-04,3101,Barajas
01-10-04,3219,Barajas
01-01-05,3292,Barajas
01-04-05,3453,Barajas
01-07-05,3366,Barajas
01-10-05,3433,Barajas
01-01-06,3445,Barajas
01-04-06,3515,Barajas
01-07-06,3554,Barajas
01-10-06,3707,Barajas
01-01-07,3688,Barajas
01-04-07,3730,Barajas
01-07-07,3651,Barajas
01-10-07,3638,Barajas
01-01-08,3637,Barajas
01-04-08,3602,Barajas
01-07-08,3518,Barajas
01-10-08,3398,Barajas
01-01-09,3276,Barajas
01-04-09,3254,Barajas
01-07-09,3305,Barajas
01-10-09,3273,Barajas
01-01-10,3291,Barajas
01-04-10,3187,Barajas
01-07-10,3241,Barajas
01-10-10,3212,Barajas
01-01-11,3179,Barajas
01-04-11,3140,Barajas
01-07-11,3035,Barajas
01-10-11,3024,Barajas
01-01-12,3023,Barajas
01-04-12,2928,Barajas
01-07-12,2869,Barajas
01-10-12,2777,Barajas
01-01-13,2775,Barajas
01-04-13,2625,Barajas
01-07-13,2727,Barajas
01-10-13,2764,Barajas
01-01-14,2828,Barajas
01-04-14,2716,Barajas
01-07-14,2611,Barajas
01-10-14,2583,Barajas
01-01-15,2605,Barajas
01-04-15,2638,Barajas
01-07-15,2603,Barajas
01-10-15,2602,Barajas
01-01-16,2585,Barajas
01-04-16,2571,Barajas
01-07-16,2604,Barajas
01-10-16,2672,Barajas
01-01-17,2642,Barajas
01-04-17,2700,Barajas
01-07-17,2867,Barajas
01-10-17,2993,Barajas
01-01-18,3065,Barajas
01-04-18,3225,Barajas
01-07-18,3225,Barajas
01-01-01,1506,Vicálvaro
01-04-01,1524,Vicálvaro
01-07-01,1689,Vicálvaro
01-10-01,1665,Vicálvaro
01-01-02,1935,Vicálvaro
01-04-02,2012,Vicálvaro
01-07-02,2063,Vicálvaro
01-10-02,2040,Vicálvaro
01-01-03,2190,Vicálvaro
01-04-03,2267,Vicálvaro
01-07-03,2556,Vicálvaro
01-10-03,2812,Vicálvaro
01-01-04,2747,Vicálvaro
01-04-04,2721,Vicálvaro
01-07-04,2742,Vicálvaro
01-10-04,2904,Vicálvaro
01-01-05,2898,Vicálvaro
01-04-05,2954,Vicálvaro
01-07-05,3025,Vicálvaro
01-10-05,3145,Vicálvaro
01-01-06,3201,Vicálvaro
01-04-06,3294,Vicálvaro
01-07-06,3158,Vicálvaro
01-10-06,3169,Vicálvaro
01-01-07,3091,Vicálvaro
01-04-07,3124,Vicálvaro
01-07-07,3122,Vicálvaro
01-10-07,3158,Vicálvaro
01-01-08,3120,Vicálvaro
01-04-08,2966,Vicálvaro
01-07-08,2820,Vicálvaro
01-10-08,2769,Vicálvaro
01-01-09,2692,Vicálvaro
01-04-09,2587,Vicálvaro
01-07-09,2552,Vicálvaro
01-10-09,2571,Vicálvaro
01-01-10,2613,Vicálvaro
01-04-10,2533,Vicálvaro
01-07-10,2496,Vicálvaro
01-10-10,2464,Vicálvaro
01-01-11,2379,Vicálvaro
01-04-11,2334,Vicálvaro
01-07-11,2317,Vicálvaro
01-10-11,2238,Vicálvaro
01-01-12,2167,Vicálvaro
01-04-12,2041,Vicálvaro
01-07-12,1864,Vicálvaro
01-10-12,1794,Vicálvaro
01-01-13,1802,Vicálvaro
01-04-13,1681,Vicálvaro
01-07-13,1711,Vicálvaro
01-10-13,1825,Vicálvaro
01-01-14,1836,Vicálvaro
01-04-14,1691,Vicálvaro
01-07-14,1693,Vicálvaro
01-10-14,1692,Vicálvaro
01-01-15,1753,Vicálvaro
01-04-15,1761,Vicálvaro
01-07-15,1774,Vicálvaro
01-10-15,1667,Vicálvaro
01-01-16,1707,Vicálvaro
01-04-16,1741,Vicálvaro
01-07-16,1718,Vicálvaro
01-10-16,1760,Vicálvaro
01-01-17,1776,Vicálvaro
01-04-17,1798,Vicálvaro
01-07-17,1834,Vicálvaro
01-10-17,1938,Vicálvaro
01-01-18,2071,Vicálvaro
01-04-18,2219,Vicálvaro
01-07-18,2278,Vicálvaro
01-01-01,1920,Arganzuela
01-04-01,1990,Arganzuela
01-07-01,1975,Arganzuela
01-10-01,2027,Arganzuela
01-01-02,2151,Arganzuela
01-01-03,2744,Arganzuela
01-04-03,2845,Arganzuela
01-07-03,2999,Arganzuela
01-10-03,3144,Arganzuela
01-01-04,3236,Arganzuela
01-04-04,3277,Arganzuela
01-07-04,3285,Arganzuela
01-10-04,3401,Arganzuela
01-01-05,3499,Arganzuela
01-04-05,3504,Arganzuela
01-07-05,3595,Arganzuela
01-10-05,3674,Arganzuela
01-01-06,3781,Arganzuela
01-04-06,3828,Arganzuela
01-07-06,3904,Arganzuela
01-10-06,3980,Arganzuela
01-01-07,3971,Arganzuela
01-04-07,3927,Arganzuela
01-07-07,3914,Arganzuela
01-10-07,3894,Arganzuela
01-01-08,3855,Arganzuela
01-04-08,3721,Arganzuela
01-07-08,3624,Arganzuela
01-10-08,3551,Arganzuela
01-01-09,3436,Arganzuela
01-04-09,3408,Arganzuela
01-07-09,3393,Arganzuela
01-10-09,3357,Arganzuela
01-01-10,3345,Arganzuela
01-04-10,3317,Arganzuela
01-07-10,3350,Arganzuela
01-10-10,3276,Arganzuela
01-01-11,3250,Arganzuela
01-04-11,3161,Arganzuela
01-07-11,3123,Arganzuela
01-10-11,3063,Arganzuela
01-01-12,3023,Arganzuela
01-04-12,2898,Arganzuela
01-07-12,2790,Arganzuela
01-10-12,2690,Arganzuela
01-01-13,2680,Arganzuela
01-04-13,2584,Arganzuela
01-07-13,2685,Arganzuela
01-10-13,2797,Arganzuela
01-01-14,2828,Arganzuela
01-04-14,2685,Arganzuela
01-07-14,2638,Arganzuela
01-10-14,2653,Arganzuela
01-01-15,2671,Arganzuela
01-04-15,2714,Arganzuela
01-07-15,2787,Arganzuela
01-10-15,2746,Arganzuela
01-01-16,2835,Arganzuela
01-04-16,2918,Arganzuela
01-07-16,2925,Arganzuela
01-10-16,3013,Arganzuela
01-01-17,3137,Arganzuela
01-04-17,3204,Arganzuela
01-07-17,3293,Arganzuela
01-10-17,3529,Arganzuela
01-01-18,3709,Arganzuela
01-04-18,3950,Arganzuela
01-07-18,3950,Arganzuela
01-01-01,1359,Carabanchel
01-04-01,1413,Carabanchel
01-07-01,1481,Carabanchel
01-10-01,1573,Carabanchel
01-01-02,1651,Carabanchel
01-04-02,1799,Carabanchel
01-07-02,1838,Carabanchel
01-10-02,2069,Carabanchel
01-01-03,2163,Carabanchel
01-04-03,2241,Carabanchel
01-07-03,2354,Carabanchel
01-10-03,2496,Carabanchel
01-01-04,2570,Carabanchel
01-04-04,2621,Carabanchel
01-07-04,2624,Carabanchel
01-10-04,2643,Carabanchel
01-01-05,2736,Carabanchel
01-04-05,2726,Carabanchel
01-07-05,2778,Carabanchel
01-10-05,2855,Carabanchel
01-01-06,2924,Carabanchel
01-04-06,3114,Carabanchel
01-07-06,3161,Carabanchel
01-10-06,3210,Carabanchel
01-01-07,3228,Carabanchel
01-04-07,3183,Carabanchel
01-07-07,3148,Carabanchel
01-10-07,3103,Carabanchel
01-01-08,3067,Carabanchel
01-04-08,2966,Carabanchel
01-07-08,2844,Carabanchel
01-10-08,2791,Carabanchel
01-01-09,2680,Carabanchel
01-04-09,2622,Carabanchel
01-07-09,2624,Carabanchel
01-10-09,2590,Carabanchel
01-01-10,2557,Carabanchel
01-04-10,2481,Carabanchel
01-07-10,2440,Carabanchel
01-10-10,2385,Carabanchel
01-01-11,2330,Carabanchel
01-04-11,2248,Carabanchel
01-07-11,2221,Carabanchel
01-10-11,2127,Carabanchel
01-01-12,2068,Carabanchel
01-04-12,1981,Carabanchel
01-07-12,1875,Carabanchel
01-10-12,1821,Carabanchel
01-01-13,1799,Carabanchel
01-04-13,1740,Carabanchel
01-07-13,1797,Carabanchel
01-10-13,1857,Carabanchel
01-01-14,1798,Carabanchel
01-04-14,1698,Carabanchel
01-07-14,1640,Carabanchel
01-10-14,1602,Carabanchel
01-01-15,1651,Carabanchel
01-04-15,1637,Carabanchel
01-07-15,1672,Carabanchel
01-10-15,1622,Carabanchel
01-01-16,1631,Carabanchel
01-04-16,1623,Carabanchel
01-07-16,1654,Carabanchel
01-10-16,1702,Carabanchel
01-01-17,1714,Carabanchel
01-04-17,1759,Carabanchel
01-07-17,1824,Carabanchel
01-10-17,1874,Carabanchel
01-01-18,1957,Carabanchel
01-04-18,2059,Carabanchel
01-07-18,2054,Carabanchel
01-01-01,2524,Chamartín
01-04-01,2661,Chamartín
01-07-01,2857,Chamartín
01-10-01,3006,Chamartín
01-01-02,2836,Chamartín
01-04-02,3095,Chamartín
01-07-02,3161,Chamartín
01-10-02,3529,Chamartín
01-01-03,3579,Chamartín
01-04-03,3677,Chamartín
01-07-03,3850,Chamartín
01-10-03,4041,Chamartín
01-01-04,4079,Chamartín
01-04-04,4180,Chamartín
01-07-04,4140,Chamartín
01-10-04,4232,Chamartín
01-01-05,4241,Chamartín
01-04-05,4366,Chamartín
01-07-05,4424,Chamartín
01-10-05,4526,Chamartín
01-01-06,4609,Chamartín
01-04-06,4701,Chamartín
01-07-06,4669,Chamartín
01-10-06,4798,Chamartín
01-01-07,4861,Chamartín
01-04-07,4885,Chamartín
01-07-07,4913,Chamartín
01-10-07,4931,Chamartín
01-01-08,4970,Chamartín
01-04-08,4939,Chamartín
01-07-08,5029,Chamartín
01-10-08,4979,Chamartín
01-01-09,4822,Chamartín
01-04-09,4760,Chamartín
01-07-09,4790,Chamartín
01-10-09,4784,Chamartín
01-01-10,4744,Chamartín
01-04-10,4788,Chamartín
01-07-10,4694,Chamartín
01-10-10,4557,Chamartín
01-01-11,4498,Chamartín
01-04-11,4493,Chamartín
01-07-11,4423,Chamartín
01-10-11,4314,Chamartín
01-01-12,4216,Chamartín
01-04-12,4128,Chamartín
01-07-12,4028,Chamartín
01-10-12,3965,Chamartín
01-01-13,3873,Chamartín
01-04-13,3820,Chamartín
01-07-13,3758,Chamartín
01-10-13,3747,Chamartín
01-01-14,3735,Chamartín
01-04-14,3674,Chamartín
01-07-14,3652,Chamartín
01-10-14,3717,Chamartín
01-01-15,3730,Chamartín
01-04-15,3740,Chamartín
01-07-15,3766,Chamartín
01-10-15,3790,Chamartín
01-01-16,3892,Chamartín
01-04-16,3915,Chamartín
01-07-16,3989,Chamartín
01-10-16,4072,Chamartín
01-01-17,4207,Chamartín
01-04-17,4338,Chamartín
01-07-17,4384,Chamartín
01-10-17,4564,Chamartín
01-01-18,4905,Chamartín
01-04-18,5007,Chamartín
01-07-18,5143,Chamartín
01-01-01,2265,Chamberí
01-04-01,2455,Chamberí
01-07-01,2447,Chamberí
01-10-01,2695,Chamberí
01-01-02,2780,Chamberí
01-04-02,2902,Chamberí
01-07-02,3180,Chamberí
01-10-02,3353,Chamberí
01-01-03,3408,Chamberí
01-04-03,3614,Chamberí
01-07-03,3729,Chamberí
01-10-03,3963,Chamberí
01-01-04,4016,Chamberí
01-04-04,4066,Chamberí
01-07-04,4217,Chamberí
01-10-04,4230,Chamberí
01-01-05,4262,Chamberí
01-04-05,4275,Chamberí
01-07-05,4436,Chamberí
01-10-05,4517,Chamberí
01-01-06,4658,Chamberí
01-04-06,4739,Chamberí
01-07-06,4752,Chamberí
01-10-06,4829,Chamberí
01-01-07,4927,Chamberí
01-04-07,4942,Chamberí
01-07-07,4909,Chamberí
01-10-07,4982,Chamberí
01-01-08,4985,Chamberí
01-04-08,4886,Chamberí
01-07-08,4790,Chamberí
01-10-08,4693,Chamberí
01-01-09,4668,Chamberí
01-04-09,4681,Chamberí
01-07-09,4737,Chamberí
01-10-09,4686,Chamberí
01-01-10,4713,Chamberí
01-04-10,4686,Chamberí
01-07-10,4604,Chamberí
01-10-10,4479,Chamberí
01-01-11,4445,Chamberí
01-04-11,4356,Chamberí
01-07-11,4309,Chamberí
01-10-11,4227,Chamberí
01-01-12,4189,Chamberí
01-04-12,4055,Chamberí
01-07-12,3930,Chamberí
01-10-12,3772,Chamberí
01-01-13,3660,Chamberí
01-04-13,3625,Chamberí
01-07-13,3682,Chamberí
01-10-13,3567,Chamberí
01-01-14,3683,Chamberí
01-04-14,3644,Chamberí
01-07-14,3629,Chamberí
01-10-14,3630,Chamberí
01-01-15,3689,Chamberí
01-04-15,3765,Chamberí
01-07-15,3781,Chamberí
01-10-15,3760,Chamberí
01-01-16,3946,Chamberí
01-04-16,3960,Chamberí
01-07-16,4017,Chamberí
01-10-16,4060,Chamberí
01-01-17,4291,Chamberí
01-04-17,4508,Chamberí
01-07-17,4642,Chamberí
01-10-17,4811,Chamberí
01-01-18,5000,Chamberí
01-04-18,5202,Chamberí
01-07-18,5243,Chamberí
01-01-01,2007,Ciudad Lineal
01-04-01,2073,Ciudad Lineal
01-07-01,2255,Ciudad Lineal
01-10-01,2277,Ciudad Lineal
01-01-02,2372,Ciudad Lineal
01-04-02,2496,Ciudad Lineal
01-07-02,2674,Ciudad Lineal
01-10-02,2819,Ciudad Lineal
01-01-03,2965,Ciudad Lineal
01-04-03,3079,Ciudad Lineal
01-07-03,3079,Ciudad Lineal
01-10-03,3312,Ciudad Lineal
01-01-04,3231,Ciudad Lineal
01-04-04,3300,Ciudad Lineal
01-07-04,3352,Ciudad Lineal
01-10-04,3349,Ciudad Lineal
01-01-05,3424,Ciudad Lineal
01-04-05,3499,Ciudad Lineal
01-07-05,3581,Ciudad Lineal
01-10-05,3705,Ciudad Lineal
01-01-06,3695,Ciudad Lineal
01-04-06,3789,Ciudad Lineal
01-07-06,3805,Ciudad Lineal
01-10-06,3818,Ciudad Lineal
01-01-07,3788,Ciudad Lineal
01-04-07,3762,Ciudad Lineal
01-07-07,3769,Ciudad Lineal
01-10-07,3725,Ciudad Lineal
01-01-08,3764,Ciudad Lineal
01-04-08,3702,Ciudad Lineal
01-07-08,3679,Ciudad Lineal
01-10-08,3567,Ciudad Lineal
01-01-09,3540,Ciudad Lineal
01-04-09,3480,Ciudad Lineal
01-07-09,3512,Ciudad Lineal
01-10-09,3436,Ciudad Lineal
01-01-10,3363,Ciudad Lineal
01-04-10,3336,Ciudad Lineal
01-07-10,3311,Ciudad Lineal
01-10-10,3249,Ciudad Lineal
01-01-11,3210,Ciudad Lineal
01-04-11,3144,Ciudad Lineal
01-07-11,3166,Ciudad Lineal
01-10-11,3078,Ciudad Lineal
01-01-12,3009,Ciudad Lineal
01-04-12,2928,Ciudad Lineal
01-07-12,2820,Ciudad Lineal
01-10-12,2729,Ciudad Lineal
01-01-13,2660,Ciudad Lineal
01-04-13,2593,Ciudad Lineal
01-07-13,2525,Ciudad Lineal
01-10-13,2631,Ciudad Lineal
01-01-14,2666,Ciudad Lineal
01-04-14,2582,Ciudad Lineal
01-07-14,2514,Ciudad Lineal
01-10-14,2464,Ciudad Lineal
01-01-15,2513,Ciudad Lineal
01-04-15,2478,Ciudad Lineal
01-07-15,2486,Ciudad Lineal
01-10-15,2455,Ciudad Lineal
01-01-16,2489,Ciudad Lineal
01-04-16,2480,Ciudad Lineal
01-07-16,2487,Ciudad Lineal
01-10-16,2523,Ciudad Lineal
01-01-17,2558,Ciudad Lineal
01-04-17,2616,Ciudad Lineal
01-07-17,2692,Ciudad Lineal
01-10-17,2724,Ciudad Lineal
01-01-18,2824,Ciudad Lineal
01-04-18,2983,Ciudad Lineal
01-07-18,3057,Ciudad Lineal
01-01-01,2060,Fuencarral
01-04-01,2057,Fuencarral
01-07-01,2047,Fuencarral
01-10-01,2174,Fuencarral
01-01-02,2432,Fuencarral
01-04-02,2562,Fuencarral
01-07-02,2675,Fuencarral
01-10-02,2807,Fuencarral
01-01-03,2951,Fuencarral
01-04-03,2959,Fuencarral
01-07-03,3064,Fuencarral
01-10-03,3283,Fuencarral
01-01-04,3296,Fuencarral
01-04-04,3358,Fuencarral
01-07-04,3397,Fuencarral
01-10-04,3428,Fuencarral
01-01-05,3470,Fuencarral
01-04-05,3503,Fuencarral
01-07-05,3472,Fuencarral
01-10-05,3593,Fuencarral
